year,country,flu_value
2002,Argentina,NA
2002,Australia,NA
2002,Austria,NA
2002,Belgium,NA
2002,Bolivia,NA
2002,Brazil,174
2002,Bulgaria,NA
2002,Canada,NA
2002,Chile,NA
2002,France,NA
2002,Germany,NA
2002,Hungary,NA
2002,Japan,NA
2002,Mexico,NA
2002,Netherlands,NA
2002,New Zealand,NA
2002,Norway,NA
2002,Paraguay,NA
2002,Peru,329
2002,Poland,NA
2002,Romania,NA
2002,Russia,NA
2002,South Africa,NA
2002,Spain,NA
2002,Sweden,NA
2002,Switzerland,NA
2002,Ukraine,NA
2002,United States,NA
2002,Uruguay,NA
2003,Argentina,195
2003,Australia,NA
2003,Austria,727
2003,Belgium,256
2003,Bolivia,501
2003,Brazil,238
2003,Bulgaria,NA
2003,Canada,3342
2003,Chile,2
2003,France,314
2003,Germany,1108
2003,Hungary,NA
2003,Japan,46
2003,Mexico,945
2003,Netherlands,60
2003,New Zealand,NA
2003,Norway,NA
2003,Paraguay,NA
2003,Peru,393
2003,Poland,NA
2003,Romania,697
2003,Russia,NA
2003,South Africa,NA
2003,Spain,77
2003,Sweden,NA
2003,Switzerland,136
2003,Ukraine,NA
2003,United States,3088
2003,Uruguay,153
2004,Argentina,170
2004,Australia,NA
2004,Austria,631
2004,Belgium,55
2004,Bolivia,425
2004,Brazil,249
2004,Bulgaria,710
2004,Canada,1497
2004,Chile,7
2004,France,31
2004,Germany,825
2004,Hungary,51
2004,Japan,77
2004,Mexico,884
2004,Netherlands,20
2004,New Zealand,NA
2004,Norway,13
2004,Paraguay,NA
2004,Peru,330
2004,Poland,47
2004,Romania,719
2004,Russia,318
2004,South Africa,NA
2004,Spain,28
2004,Sweden,NA
2004,Switzerland,31
2004,Ukraine,NA
2004,United States,1127
2004,Uruguay,145
2005,Argentina,166
2005,Australia,NA
2005,Austria,798
2005,Belgium,124
2005,Bolivia,390
2005,Brazil,255
2005,Bulgaria,807
2005,Canada,1901
2005,Chile,5
2005,France,109
2005,Germany,948
2005,Hungary,86
2005,Japan,182
2005,Mexico,981
2005,Netherlands,34
2005,New Zealand,NA
2005,Norway,37
2005,Paraguay,329
2005,Peru,308
2005,Poland,94
2005,Romania,775
2005,Russia,261
2005,South Africa,NA
2005,Spain,63
2005,Sweden,3
2005,Switzerland,74
2005,Ukraine,504
2005,United States,1615
2005,Uruguay,128
2006,Argentina,169
2006,Australia,345
2006,Austria,682
2006,Belgium,84
2006,Bolivia,371
2006,Brazil,263
2006,Bulgaria,881
2006,Canada,1841
2006,Chile,5
2006,France,58
2006,Germany,792
2006,Hungary,62
2006,Japan,112
2006,Mexico,1067
2006,Netherlands,28
2006,New Zealand,28
2006,Norway,28
2006,Paraguay,311
2006,Peru,283
2006,Poland,48
2006,Romania,768
2006,Russia,296
2006,South Africa,2701
2006,Spain,39
2006,Sweden,3
2006,Switzerland,34
2006,Ukraine,333
2006,United States,1465
2006,Uruguay,128
